종목명,분기,기업코드,유동자산,부채총계,청산가치
레이언스,2021년 1분기 보고서,00899459,218053826441,99441615412,118612211029
HDC아이콘트롤스,2021년 1분기 보고서,00350312,188606345893,49860427448,138745918445
태원물산,2021년 1분기 보고서,00154055,23109774731,7658510244,15451264487
유니퀘스트,2021년 1분기 보고서,00414601,224495876597,149861133990,74634742607
에스에스알,2021년 1분기 보고서,01250374,20856821538,1951047319,18905774219
서진시스템,2021년 1분기 보고서,00838005,165766898978,271202668135,-105435769157
한국바이오젠,2021년 1분기 보고서,00876166,22181949778,4079770973,18102178805
제이브이엠,2021년 1분기 보고서,00361381,69684147461,34320404306,35363743155
BGF,2021년 1분기 보고서,00219097,400699711010,54932927011,345766783999
빅텍,2021년 1분기 보고서,00385363,90227863109,73944463285,16283399824
국제약품,2021년 1분기 보고서,00104722,52958635255,74480794727,-21522159472
한라,2021년 1분기 보고서,00161116,584093419686,976427374520,-392333954834
비상교육,2021년 1분기 보고서,00520887,103465829492,50903792209,52562037283
포인트모바일,2021년 1분기 보고서,00962393,63781123286,42341487777,21439635509
하나금융17호스팩,2021년 1분기 보고서,01493535,14586677257,1920668686,12666008571
우리기술,2021년 1분기 보고서,00231044,39489486793,55796730764,-16307243971
유엔젤,2021년 1분기 보고서,00416654,27953284612,8518533283,19434751329
한미반도체,2021년 1분기 보고서,00161383,209753660181,71732049235,138021610946
휴비스,2021년 1분기 보고서,00362238,334229924725,355866830401,-21636905676
한양디지텍,2021년 1분기 보고서,00488989,64361736646,68953630839,-4591894193
무림페이퍼,2021년 1분기 보고서,00136086,253221391833,551519882295,-298298490462
피에스케이,2021년 1분기 보고서,01365825,219512935494,63130202947,156382732547
대한전선,2021년 1분기 보고서,00113207,739915834000,895616643000,-155700809000
피플바이오,2021년 1분기 보고서,01118281,8422639524,2738694040,5683945484
동일금속,2021년 1분기 보고서,00118284,34332103024,12192673113,22139429911
네오펙트,2021년 1분기 보고서,01246034,14929842877,23702327177,-8772484300
메카로,2021년 1분기 보고서,00652007,53866058050,14833006742,39033051308
덕산네오룩스,2021년 1분기 보고서,01061558,101685366921,28287637556,73397729365
아시아경제,2021년 1분기 보고서,00665676,147262030012,109851239166,37410790846
씨앤투스성진,2021년 1분기 보고서,00875237,120912700245,28720807242,92191893003
메가스터디교육,2021년 1분기 보고서,01074862,154531539799,279793576499,-125262036700
RFHIC,2021년 1분기 보고서,01078178,202000049804,93476583513,108523466291
넥스틴,2021년 1분기 보고서,01080252,43809340828,6287807080,37521533748
알테오젠,2021년 1분기 보고서,00989619,174102818217,7436077207,166666741010
하이텍팜,2021년 1분기 보고서,00409964,46358645644,37874950002,8483695642
아이원스,2021년 1분기 보고서,00625942,51996346819,92468835527,-40472488708
덕산테코피아,2021년 1분기 보고서,01021666,66725199967,12910577671,53814622296
베셀,2021년 1분기 보고서,00813389,13820986984,26258722578,-12437735594
데이타솔루션,2021년 1분기 보고서,00877819,28692656456,17467613146,11225043310
엘오티베큠,2021년 1분기 보고서,00484682,123365062581,63005213914,60359848667
배럴,2021년 1분기 보고서,01182240,26579884512,8356604507,18223280005
대웅제약,2021년 1분기 보고서,00427483,424161101838,671658244502,-247497142664
에프엔씨엔터,2021년 1분기 보고서,00925295,33166561240,51412635838,-18246074598
디알젬,2021년 1분기 보고서,00966168,54562532247,20853215464,33709316783
하이스틸,2021년 1분기 보고서,00435312,89219715110,115953482299,-26733767189
